DatabaseParent,DatabaseName,DatabaseDesc,TableName,TableList_Description,FieldName,FieldList_Description
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_AOCDuration,Alteration of Consciousness Duration
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_Apnea,Presence of Sleep Apnea
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_Attention_Concentration,Attention/Concentration
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_BlastType,Blast Type
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_Bruxism,Presence of Bruxism (grinding of teeth)
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_CN_Issues,Cranial Nerve Issues
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_CNLocation,Cranial Nerve Issue Location
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_Comment1,Comment1
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_Comment2,Comment2
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_CPAP,Use of CPAP
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_Deployment_Comments,Deployment Comments
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_Deployment_Date,Neurology AIMS Deployment Date
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_Deployment_Duration,Deployment Duration
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_Deployment_Location,Deployment Location
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_Detention,Detention
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_DystolicBP,Dystolic Blood Pressure
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_Alcohol,HA Alcohol
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_anorexia,HA anorexia
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_Associations,HA Associations
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_blurred_vision,HA blurred vision
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_blurry_vision,HA blurry vision
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_Characteristic,HA Characteristic
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_Dizziness,HA Dizziness
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_Duration,HA Duration
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_Freq_month,HA Freq month
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_Level,HA Level
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_nausea,HA nausea
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_numbness,HA numbness
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_OtherCharacterisic,HA OtherCharacterisic
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_OtherLevel,HA OtherLevel
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_OtherLocation,HA OtherLocation
Neurology,Neurology,Neurology database,Neurology_AIMS,Neurology AIMS Form,Neurology_AIMS_HA_Phonophobia,HA Phonophobia
